,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
3932,spinal,tap,29,98,0.2196969696969697,132,0.29591836734693877,6,3
3934,wherever,whenever,29,100,0.37662337662337664,77,0.29,8,8
3936,intrigued,curious,29,97,0.17682926829268292,164,0.29896907216494845,9,7
3937,charming,prince,29,98,0.2230769230769231,130,0.29591836734693877,8,6
3938,during,while,29,98,0.47540983606557374,61,0.29591836734693877,6,5
3947,fully,completely,29,98,0.25,116,0.29591836734693877,5,10
3948,lava,volcano,29,99,0.11462450592885376,253,0.29292929292929293,4,7
3953,launch,rocket,29,99,0.19863013698630136,146,0.29292929292929293,6,6
3954,wiper,windshield,29,97,0.5370370370370371,54,0.29896907216494845,5,10
3957,cello,violin,29,96,0.1141732283464567,254,0.3020833333333333,5,6
3962,thus,therefore,29,97,0.21323529411764705,136,0.29896907216494845,4,9
3963,ashamed,embarrassed,29,100,0.21323529411764705,136,0.29,7,11
3966,miles,distance,29,98,0.11983471074380166,242,0.29591836734693877,5,8
3969,allergy,sneeze,29,100,0.12719298245614036,228,0.29,7,6
3971,pledge,allegiance,29,99,0.8285714285714286,35,0.29292929292929293,6,10
3972,liable,responsible,29,96,0.3717948717948718,78,0.3020833333333333,6,11
3975,rosemary,herb,29,100,0.12184873949579832,238,0.29,8,4
3976,allow,permit,29,100,0.4603174603174603,63,0.29,5,6
3978,constructive,criticism,29,99,0.5918367346938775,49,0.29292929292929293,12,9
3980,ebony,ivory,29,100,0.4915254237288136,59,0.29,5,5
3981,placenta,birth,29,99,0.10469314079422383,277,0.29292929292929293,8,5
3987,printing,press,29,98,0.21323529411764705,136,0.29591836734693877,8,5
3991,fright,scare,29,97,0.11934156378600823,243,0.29896907216494845,6,5
3993,bravery,courage,29,100,0.1657142857142857,175,0.29,7,7
3997,otherwise,else,29,98,0.27358490566037735,106,0.29591836734693877,9,4
3998,tepee,tent,29,88,0.10861423220973783,267,0.32954545454545453,5,4
4001,physicist,scientist,29,97,0.12663755458515283,229,0.29896907216494845,9,9
4003,chanting,singing,29,99,0.13551401869158877,214,0.29292929292929293,8,7
4005,pact,agreement,29,96,0.11740890688259109,247,0.3020833333333333,4,9
4007,delinquent,juvenile,29,99,0.5471698113207547,53,0.29292929292929293,10,8
4008,follow,lead,29,100,0.15025906735751296,193,0.29,6,4
4010,hence,therefore,29,95,0.21323529411764705,136,0.30526315789473685,5,9
4012,length,width,29,98,0.19594594594594594,148,0.29591836734693877,6,5
4013,sold,bought,29,100,0.5471698113207547,53,0.29,4,6
4014,eight,nine,29,98,0.4461538461538462,65,0.29591836734693877,5,4
4015,yearning,longing,29,95,0.3815789473684211,76,0.30526315789473685,8,7
4016,clove,garlic,29,93,0.4027777777777778,72,0.3118279569892473,5,6
4019,brunette,blonde,29,98,0.11836734693877551,245,0.29591836734693877,8,6
4021,surplus,extra,29,96,0.12554112554112554,231,0.3020833333333333,7,5
